question,document
What can I learn from token counts that helps me improve my prompts and cut waste?,a4adc70f41
How does token tracking act like a safety check for long-running or runaway AI tasks?,a4adc70f41
"Where do you get the token usage number from in a Kestra AI task, and how can you use it in logs or dashboards?",a4adc70f41
How can I get rid of the Docker error that says mounts denied and the path /tmp/... is not shared from the host?,dd8b4c9fda
What do I need to change in Docker Desktop if my container can't mount /tmp/kestra-wd or another /tmp folder?,dd8b4c9fda
"Why does Docker Desktop block the host path when I run Kestra, and how do I allow it?",dd8b4c9fda
Where in Docker Desktop do I add /tmp so docker compose up -d works without the mount denied error?,dd8b4c9fda
Is there a fix for the shared path problem in Docker when Kestra fails to start because /tmp is not shared?,dd8b4c9fda
What should I upload for the Module 3 Kestra homework if I did everything in the Kestra UI?,f29f622684
"Do I need to submit the actual flow YAML files for the Kestra assignment, or is a README enough?",f29f622684
"If my homework work was only inside Kestra, what should go in the public repo link for submission?",f29f622684
Should I include scripts along with the Kestra flows when I submit Module 3 homework?,f29f622684
Where should I place the Kestra flow files in the repo before sending the homework?,f29f622684
Why am I getting JSONDecodeError: Expecting value when I try to parse the LLM output?,a3c7e1b4f9
How can I make the model return only valid JSON so json.loads stops failing?,a3c7e1b4f9
What should I add to my prompt if the LLM keeps sending extra text or a code block around the JSON?,a3c7e1b4f9
Is there a way to force structured JSON output in OpenAI chat completions for this task?,a3c7e1b4f9
"Does this JSON-only output setting exist in other LLM APIs too, like Gemini or Groq?",a3c7e1b4f9
Why does my Jupyter notebook crash when I try to embed the ground-truth set in the evaluation part?,b8f2d6a30c
"Is this kernel crash a memory issue, and what can I do if I'm working on a low-RAM laptop or Codespaces?",b8f2d6a30c
"Can I use a smaller embedding model like all-MiniLM-L6-v2 instead of the default one, and will that affect my eval results?",b8f2d6a30c
Would it help to move the embedding step out of the notebook into a separate Python script and then load the vectors back in?,b8f2d6a30c
What is the best way to handle the ground-truth embeddings in batches so I don't run out of memory?,b8f2d6a30c
Why does adding a sleep between requests still not stop Gemini from failing when I run the whole tqdm loop for ground truth generation?,c1e9f4b820
What are the best alternatives if I keep hitting free-tier Gemini request limits while creating the dataset?,c1e9f4b820
"Would using gpt-4o-mini be a good workaround for generating embeddings or the full ground truth set, and why?",c1e9f4b820
How can I reduce the chance of rate limit errors when I use a thread pool for API calls?,c1e9f4b820
What should I do so I can continue from the point where the process stopped instead of losing all the partial results?,c1e9f4b820
How do I fix the WinError 126 error on Windows when PyTorch says it cannot load fbgemm.dll?,15e931476c
"What should I install if Python on Windows fails with ""The specified module could not be found"" for torch\lib\fbgemm.dll?",15e931476c
"Is Visual Studio Code enough to solve the fbgemm.dll missing dependency issue in Windows, or do I need something else?",15e931476c
"Why am I getting an OSError about fbgemm.dll on Windows, and what is the usual fix for it?",15e931476c
What can I try first when torch import breaks on Windows with a missing module error for fbgemm.dll?,15e931476c
Why do I get psycopg2 OperationalError saying it can't translate host name postgres when I run python prep.py?,4b65d5542d
How can I fix the No such host is known error from postgres in prep.py?,4b65d5542d
What should I change in the .env file if POSTGRES_HOST points to postgres and the script fails?,4b65d5542d
Is localhost supposed to be used instead of postgres in POSTGRES_HOST for this setup?,4b65d5542d
"I keep seeing could not translate host name postgres to address, what is the correct config change?",4b65d5542d
How can I make Pandas show the full text in a column instead of cutting it off?,641aedbbf5
What setting do I change in Pandas to see the whole Explanation column in the offline-rag-evaluation notebook?,641aedbbf5
Why does Pandas replace long text with ... and how do I stop that?,641aedbbf5
Is there a simple way to display unlimited column width in Pandas?,641aedbbf5
How do I view the complete judge LLM explanation without text truncation in a dataframe?,641aedbbf5
How do I normalize vectors stored in a Pandas DataFrame column?,5039707c1a
What's the easiest way to turn each vector in a Pandas Series into a unit vector?,5039707c1a
Can I use apply with NumPy norm to normalize a whole column of vectors in Pandas?,5039707c1a
How would you write a small function to normalize vectors inside a DataFrame column?,5039707c1a
Is there a simple one-liner for normalizing each vector in a Pandas column?,5039707c1a
How do I get the 75th percentile for a column in a Pandas DataFrame?,b4c8ac5a0c
What is the Pandas way to calculate a quantile for a Series?,b4c8ac5a0c
"How can I find the 0.75 quantile of df[""col""]?",b4c8ac5a0c
Is there a simple method in Pandas to compute percentiles for one column?,b4c8ac5a0c
How do I use the quantile function on a DataFrame column?,b4c8ac5a0c
"How do I delete every Docker container from the terminal, even the running ones?",66ccbb7da0
What command removes all my Docker images at once in Docker?,66ccbb7da0
How can I clear out all Docker volumes using the command line?,66ccbb7da0
"Is there a quick way to force remove every container, image, and volume in Docker?",66ccbb7da0
"What terminal commands can I run to wipe all Docker containers, images, and volumes?",66ccbb7da0
"How can I make sure a user can only give one feedback vote per submission in Streamlit, like only one +1 or -1 after pressing ask?",2e729f1271
"Why does `st.session.submitted` keep getting set back to True even after I click a feedback button, and how do I stop that?",2e729f1271
"After submitting text with the ask button, why do my feedback buttons stay disabled or behave weirdly when I use `st.session.submitted`?",2e729f1271
Is there a fix for Streamlit session state being reassigned when one feedback button is pressed in my app?,2e729f1271
Where can I find the solution for the problem where `st.session.submitted` gets changed again after feedback is clicked?,2e729f1271
"Why do I get exec: ""streamlit"": executable file not found in $PATH when I start my app with docker-compose, even though it works locally?",e8df9f0d12
What do I need to set up in Docker if my Streamlit app runs outside Docker but fails with a runc create failed error in compose?,e8df9f0d12
Do I have to create a Dockerfile and add Streamlit to docker-compose before running my app in containers?,e8df9f0d12
"After fixing my docker-compose setup, what command should I run to rebuild the image and start the app again?",e8df9f0d12
How can I solve the OCI runtime create failed issue when Docker says it cannot find the streamlit executable?,e8df9f0d12
Is the capstone supposed to be done solo or with a team?,0fab61eca2
Can I work with other students on the capstone idea and still submit my own project?,0fab61eca2
"If we build one shared system, can each person turn in a separate capstone from it?",0fab61eca2
Do we need a separate repository and clearly different part for every student in a shared project?,0fab61eca2
What happens if the project can’t be checked independently for each person?,0fab61eca2
"Do I need to hand in two capstone projects, or is one enough for the course?",d5fc98925d
What does attempt 1 and attempt 2 mean for the capstone submission?,d5fc98925d
"If my first submission gets rejected, can I fix it and send it again later?",d5fc98925d
"If I miss the first submission window, can I still join in for the second one?",d5fc98925d
"Can I submit two different projects just for practice, and if so do they need different datasets and problem statements?",d5fc98925d
Does joining the competition count as doing the capstone project?,e892d44e42
Can I use the competition as my capstone for this course?,e892d44e42
Is the capstone supposed to be the same thing as the competition entry?,e892d44e42
"If I join the Kaggle competition, does that replace the individual capstone requirement?",e892d44e42
"Can we work in teams for the capstone, or is that only for the competition?",e892d44e42
How exactly will my capstone project be graded in this course?,9a2e2d2008
Who reviews the capstone project after I submit it?,9a2e2d2008
Do I also have to review other students' capstone projects?,9a2e2d2008
What happens if I skip grading the projects from other students?,9a2e2d2008
Is my final capstone grade based on all reviewer scores or some kind of average?,9a2e2d2008
How are the projects for review assigned after the deadline?,eae0fb50aa
Will each participant get 3 projects to grade?,eae0fb50aa
When do we receive the list of projects to review?,eae0fb50aa
Is the project assignment shared in an Excel file after submissions close?,eae0fb50aa
What happens with grading once the submission deadline is over?,eae0fb50aa
"I already turned in my capstone project, so why am I not seeing anything to review yet?",a8a7fef016
"After the submission deadline ends, do I get assigned projects automatically for evaluation?",a8a7fef016
"Can I pick which project submissions I want to review, or is it assigned for me?",a8a7fef016
Why is there nothing available to evaluate even though I submitted my project already?,a8a7fef016
"Do reviews only open after the project list is released, or can I start earlier?",a8a7fef016
Where can I look for project ideas and datasets for the capstone?,e76a70cde3
Is there a page with some dataset suggestions and project inspiration for this course?,e76a70cde3
"I need help getting started with the capstone, where are the ideas and data links?",e76a70cde3
"Does the course have a GitHub page with tips, guidelines, and possible datasets for the project?",e76a70cde3
What is the best place to find a few good project ideas for the capstone?,e76a70cde3
"Do I need to use Airflow, Mage, or Kestra in the capstone project to get full points for the ingestion pipeline part?",d4f7c08ea1
"Is a simple Python script enough for ingesting and indexing data in the capstone, or do I have to build a full orchestration setup?",d4f7c08ea1
"If I do the ingestion steps in a Jupyter notebook, how many points does that count for in the project rubric?",d4f7c08ea1
When does it actually make sense to add an orchestrator to the capstone project instead of just using a script?,d4f7c08ea1
Should I include an orchestration tool in my capstone even if it's only there to satisfy the scoring criterion?,d4f7c08ea1
How can I evaluate a recommender-style RAG project when there isn't a clear ground truth answer set?,9b0e2d6a47
Is there a way to create synthetic test queries for each item so I can measure retrieval quality like hit rate or MRR?,9b0e2d6a47
How do I use an LLM as a judge to score the end-to-end quality of my RAG system?,9b0e2d6a47
"For ranking-style recommendation tasks, should I use NDCG instead of hit rate, and why?",9b0e2d6a47
What evaluation approach works best when several results could be considered correct in a RAG recommender setup?,9b0e2d6a47
"What chunk size should I start with for a really big PDF corpus, and how much overlap makes sense?",6f2a8b3d10
"Should I try to split documents with an LLM instead of using fixed chunks, or is that overkill?",6f2a8b3d10
Is it worth adding a short summary to every chunk before indexing it?,6f2a8b3d10
"For long legal or financial documents, do I need hybrid search or is dense retrieval enough?",6f2a8b3d10
What tools would you recommend to convert PDFs into clean markdown before chunking?,6f2a8b3d10
"For the project, what counts as reproducible if someone clones my repo and tries to run it from scratch?",e5d8a2c761
Do reviewers need my API keys or hosted service credentials to check the capstone project?,e5d8a2c761
How should I set up the repo so other people can rebuild the search index and ingest the data locally?,e5d8a2c761
"What’s the right way to handle environment variables in the project, like keys and secrets?",e5d8a2c761
Should I use a cheap model and pin dependency versions so the reviewer can run the project without problems?,e5d8a2c761
Can I do the homework and final project in JavaScript or another language instead of Python?,ea815eb858
"Is it okay to use Go, Rust, Java, Scala, C# or R for the capstone project, or should I stick to Python?",ea815eb858
"If I submit a non-Python project, what do I need to put in the README so the reviewer can run it?",ea815eb858
"Would the reviewers accept a project built with a different stack, and what makes it harder for them?",ea815eb858
"For a non-Python homework submission, how detailed should the install and run instructions be for Windows, macOS, and Linux?",ea815eb858
Where do I check out past LLM Zoomcamp capstone projects?,930286278d
Is there a page with previous LLM Zoomcamp project submissions I can look at?,930286278d
Can I see examples of projects from earlier LLM Zoomcamp cohorts?,930286278d
Where are the 2024 and 2025 LLM Zoomcamp project repositories listed?,930286278d
"I want to understand the expected scope for the capstone project, where can I find past submissions?",930286278d
Do I need to announce or reserve my capstone project idea before I start working on it?,897a350476
"If I already have a project topic in mind, do I have to check in or reserve it somewhere first?",897a350476
"Can I ask for feedback on my project idea in Slack, or should I just begin without saying anything?",897a350476
Is it okay if my capstone project is on a topic similar to one from a previous year?,897a350476
Where can I look at past capstone projects to get a better idea of the expected scope?,897a350476
Can I make my capstone as a Telegram bot or WhatsApp bot instead of a web app?,7318a90b14
"Is there any required interface for the project, or can I choose whatever works for my idea?",7318a90b14
"Would a CLI, Slack app, or notebook be acceptable for the capstone submission?",7318a90b14
"Does the course expect us to learn how to build the interface itself, or is that up to us?",7318a90b14
"As long as the project passes the evaluation criteria, can I present it through any user-facing tool?",7318a90b14
What’s a good tool for pulling text out of PDFs for a RAG app?,d8b28c47a0
"If my PDFs are scanned and don’t have a text layer, what can I use to extract the text?",d8b28c47a0
"Does the course recommend one specific PDF extraction library for RAG, or can I pick whatever works best?",d8b28c47a0
What are some alternatives to OCR if I want to turn documents into text or Markdown for retrieval?,d8b28c47a0
Which tool should I try first for parsing messy PDFs and documents before chunking them for RAG?,d8b28c47a0
Can I use the workshop stuff in my own capstone project?,d850a0e7ea
Is it okay to reuse this dlt workshop content for other Zoomcamp projects too?,d850a0e7ea
Can I take the materials from this workshop and apply them to my own work?,d850a0e7ea
"Since dlt is open source, can I build on this workshop in my project?",d850a0e7ea
Am I allowed to ask questions and use the workshop content directly in my projects?,d850a0e7ea
How do I create a new dlt project for loading data from cloud storage?,6bceeebf04
What is the command to start a fresh dlt filesystem to duckdb pipeline?,6bceeebf04
"If I want to load files from cloud, how should I initialize dlt?",6bceeebf04
Which dlt init command should I run for a filesystem source and DuckDB destination?,6bceeebf04
Where do I begin when setting up a dlt project for cloud file ingestion?,6bceeebf04
"Why do I get `Table notion_pages___homework does not exist` when I call `db.open_table(""notion_pages___homework"")`?",0407213397
What should I check if `db.create_table(...)` says the table is missing even though my pipeline ran?,0407213397
Could this error happen if I only renamed part of the pipeline from `employee_handbook` to `homework`?,0407213397
How do I fix the `FileNotFoundError` for `notion_pages___homework` in the dlt workshop?,0407213397
What is the reason `notion_pages___homework` is not being created in my pipeline?,0407213397
"Why do I get FileNotFoundError for notion_pages___homework in main(), and how do I fix it?",e95bfafc0e
What table name should I open in line 3 if db.create_table says notion_pages___homework is missing?,e95bfafc0e
I'm seeing Table notion_pages___homework does not exist. What should db.open_table use here?,e95bfafc0e
How can I stop the FileNotFoundError about notion_pages___homework when running the homework code?,e95bfafc0e
"In the dlt workshop homework, what is the correct table to open instead of the one causing the error?",e95bfafc0e
How can I list all tables that are currently in the database?,e394e6f738
Is there a quick way to see what tables the db has?,e394e6f738
What method should I use to check the table names in the database?,e394e6f738
How do I find out which tables are available in the db?,e394e6f738
Can I get a list of all database tables with db.table_names()?,e394e6f738
"Does DLT support ClickHouse or StarRocks right now, or are those connectors still missing?",cd19f122f3
Can I use DLT to load data into ClickHouse or StarRocks yet?,cd19f122f3
Are there any official DLT connectors for ClickHouse and StarRocks?,cd19f122f3
"If DLT does not support ClickHouse or StarRocks, can the community add them?",cd19f122f3
Is there a way to contribute a ClickHouse or StarRocks connector to DLT?,cd19f122f3
Why am I getting a 401 Unauthorized when my notebook calls the Notion search API?,0dfba07ace
What should I check first if the notebook says it does not have secret access for api.notion.com/v1/search?,0dfba07ace
Could this Notion API error be caused by the token being wrong or expired?,0dfba07ace
How do I verify that my Notion API key and permissions are set up correctly in the notebook?,0dfba07ace
"If the Notion request keeps failing, what authentication or config steps should I review?",0dfba07ace
"Why do I get a 401 Client Error when trying to use the key, and how can I tell if it’s a permissions issue or just the key being wrong?",4b30b918bc
What’s the easiest way to force pip to install requests 2.32.3 instead of the older 2.28 version?,4b30b918bc
Is there a direct install command for requests from GitHub that works with lancedb?,4b30b918bc
"My environment keeps pulling requests v2.28, how can I pin it to the exact version I need?",4b30b918bc
Can I install requests from the source zip URL to avoid the version mismatch problem?,4b30b918bc
