question,answer_llm,answer_orig,document
Is there a way to make uv skip hardlinking and just copy files automatically when running in Codespaces?,"Yes — set:

```bash
export UV_LINK_MODE=copy
```

This makes `uv` use copying instead of hardlinking, including in Codespaces.  
If you want it to be automatic every time you open a shell, add that line to your `~/.bashrc` or `~/.zshrc`.","No. This warning can happen in GitHub Codespaces when `uv` cannot hardlink files between the cache and the target environment.

The package still installs. `uv` falls back to copying files.

To suppress the warning for the current shell:

```bash
export UV_LINK_MODE=copy
```

To make it persistent:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```

See the `uv` documentation for more details: [https://docs.astral.sh/uv/](https://docs.astral.sh/uv/).",acf8fa5356
Why do I get 'dotenv is not recognized' and what package fixes it?,"You get that error because the `dotenv` command/module itself isn’t installed. The package that fixes it is `python-dotenv`.

Install it with:

```bash
uv add python-dotenv
```

or, if you’re using pip:

```bash
pip install python-dotenv
```

Then load it in Python with:

```python
from dotenv import load_dotenv
load_dotenv()
```","Install `python-dotenv`:

```bash
uv add python-dotenv
```

Then import and use it in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

The package is documented here: [python-dotenv](https://pypi.org/project/python-dotenv/).",0bed1f48da
What do I need to install if load_dotenv is missing in my Python project?,"Install `python-dotenv`.

For example:

```bash
pip install python-dotenv
```

Then use it like this:

```python
from dotenv import load_dotenv

load_dotenv()
```","Install `python-dotenv`:

```bash
uv add python-dotenv
```

Then import and use it in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

The package is documented here: [python-dotenv](https://pypi.org/project/python-dotenv/).",0bed1f48da
How can I add dotenv support to my environment with uv?,"Install `python-dotenv` with uv:

```bash
uv add python-dotenv
```

Then load your `.env` file in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

If you want, I can also show how to set up a `.env` file for API keys.","Install `python-dotenv`:

```bash
uv add python-dotenv
```

Then import and use it in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

The package is documented here: [python-dotenv](https://pypi.org/project/python-dotenv/).",0bed1f48da
"After installing python-dotenv, how do I load variables from a .env file?","Use `load_dotenv()` from `python-dotenv`:

```python
from dotenv import load_dotenv

load_dotenv()
```

Then you can read the variables with `os.getenv()`:

```python
import os
openai_api_key = os.getenv(""OPENAI_API_KEY"")
```","Install `python-dotenv`:

```bash
uv add python-dotenv
```

Then import and use it in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

The package is documented here: [python-dotenv](https://pypi.org/project/python-dotenv/).",0bed1f48da
"Is dotenv part of Python, or do I need to install a separate library?","`dotenv` is not part of Python itself. You need to install a separate library: `python-dotenv`.

Example:

```bash
pip install python-dotenv
```

Then use it like this:

```python
from dotenv import load_dotenv

load_dotenv()
```

","Install `python-dotenv`:

```bash
uv add python-dotenv
```

Then import and use it in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

The package is documented here: [python-dotenv](https://pypi.org/project/python-dotenv/).",0bed1f48da
Can I do the course on my own machine instead of using GitHub Codespaces?,"Yes. Codespaces is just the easiest way to get a consistent environment, but you can run the course locally if you’re comfortable setting up Python, `uv`, Jupyter, Docker, and any other needed tools. If you do it locally, make sure to document your setup and keep it reproducible.","Yes. Codespaces is just the easiest way for everyone to start with the same environment.

You can run the course locally if you are comfortable setting up Python, `uv`, Jupyter, Docker, and any other tools needed for the module.

If you run locally, make sure you document your setup and keep your environment reproducible.",aa310de435
"Is Codespaces required for this module, or can I set everything up locally?","No, Codespaces is not required. You can set everything up locally if you’re comfortable installing Python, `uv`, Jupyter, Docker, and the other tools needed for the module.

Codespaces is just the easiest way to start with the same environment. If you run locally, make sure to document your setup and keep it reproducible.","Yes. Codespaces is just the easiest way for everyone to start with the same environment.

You can run the course locally if you are comfortable setting up Python, `uv`, Jupyter, Docker, and any other tools needed for the module.

If you run locally, make sure you document your setup and keep your environment reproducible.",aa310de435
"If I skip Codespaces and run the course on my laptop, what do I need to install first?","You need to install and set up the local course environment first, including:

- Python
- `uv`
- Jupyter
- Docker
- any other tools needed for the module

If you run locally, you should also keep the setup reproducible.","Yes. Codespaces is just the easiest way for everyone to start with the same environment.

You can run the course locally if you are comfortable setting up Python, `uv`, Jupyter, Docker, and any other tools needed for the module.

If you run locally, make sure you document your setup and keep your environment reproducible.",aa310de435
Is it okay to use a local setup as long as I can reproduce the environment later?,Yes — as long as you document your setup and keep the environment reproducible.,"Yes. Codespaces is just the easiest way for everyone to start with the same environment.

You can run the course locally if you are comfortable setting up Python, `uv`, Jupyter, Docker, and any other tools needed for the module.

If you run locally, make sure you document your setup and keep your environment reproducible.",aa310de435
"Do I have to follow the same Codespaces environment, or can I bring my own Python and Docker setup?","No — you can bring your own Python and Docker setup.

Codespaces is just the easiest way to start with the same environment, but you can run the course locally if you’re comfortable setting up Python, `uv`, Jupyter, Docker, and any other needed tools. If you do, make sure your setup is documented and reproducible.","Yes. Codespaces is just the easiest way for everyone to start with the same environment.

You can run the course locally if you are comfortable setting up Python, `uv`, Jupyter, Docker, and any other tools needed for the module.

If you run locally, make sure you document your setup and keep your environment reproducible.",aa310de435
"If I keep working in Codespaces and never commit, does my code just stay there safely or can it disappear later?","Your code is saved in the Codespaces Linux VM, but it is **not guaranteed to stay there forever**.

Codespaces can stop, disconnect, be rebuilt, or even be deleted later. So if you never commit, your work may disappear. The safe practice is to **commit and push regularly** so it’s stored in your GitHub repository.","The code is saved inside the Codespaces Linux VM.

However, you should still commit your work regularly. Codespaces can stop, disconnect, or be deleted later, and committing makes sure your work is stored in your GitHub repository.",610ccb23c0
Where is my code actually stored when I save it in GitHub Codespaces before committing?,"Your code is stored inside the Codespaces Linux VM, in the `/workspaces` environment, until you commit it.

So:
- **Before committing:** it lives in the Codespaces VM
- **After committing:** it’s stored in your GitHub repository

Uncommitted changes usually survive a stop/start, but can be lost if you delete or recreate the codespace.","The code is saved inside the Codespaces Linux VM.

However, you should still commit your work regularly. Codespaces can stop, disconnect, or be deleted later, and committing makes sure your work is stored in your GitHub repository.",610ccb23c0
"Do I really need to commit often in Codespaces, or is saving in the VM enough?","Yes — you should commit often.

Saving in the Codespaces VM is not enough, because uncommitted changes can be lost if the codespace stops, gets deleted, or you recreate it. Committing regularly stores your work in your GitHub repository.","The code is saved inside the Codespaces Linux VM.

However, you should still commit your work regularly. Codespaces can stop, disconnect, or be deleted later, and committing makes sure your work is stored in your GitHub repository.",610ccb23c0
What happens to my changes in Codespaces if the session stops or the VM gets deleted?,"Your uncommitted changes are saved inside the Codespaces Linux VM, but they are not safe long-term.

- If the session just stops/disconnects, your changes usually remain in the VM.
- If the VM is deleted, the codespace is recreated, or you delete the codespace, uncommitted changes are lost.
- To protect your work, commit and push regularly to your GitHub repository.","The code is saved inside the Codespaces Linux VM.

However, you should still commit your work regularly. Codespaces can stop, disconnect, or be deleted later, and committing makes sure your work is stored in your GitHub repository.",610ccb23c0
Should I push my work to GitHub right away when using Codespaces so I do not lose it?,"Yes — you should commit and push your work regularly.

Your code is saved inside the Codespaces Linux VM even if you don’t commit it, but Codespaces can stop, disconnect, be rebuilt, or be deleted later. Uncommitted changes usually survive a stop/start, but they can be lost if the codespace is deleted or recreated.

So the safe practice is:

- keep working in Codespaces,
- commit often,
- push to GitHub so your work is stored in the repository.

","The code is saved inside the Codespaces Linux VM.

However, you should still commit your work regularly. Codespaces can stop, disconnect, or be deleted later, and committing makes sure your work is stored in your GitHub repository.",610ccb23c0
Why does WSL2 say the model needs more system memory than is available even though my PC has enough RAM?,"WSL2 is only using the amount of RAM allocated to WSL, not all the RAM in your PC. So even if your computer has enough total memory, WSL2 may still report less available memory inside the Linux environment.

To fix it, increase the WSL2 memory limit by creating a `.wslconfig` file in:

`C:\Users\YourUsername\.wslconfig`

For example:

```ini
[wsl2]
memory=8GB
```

Then restart WSL:

```bash
wsl --shutdown
```

After that, run `free` inside WSL to check the available memory.

","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
How do I increase the RAM that WSL2 can actually use on Windows?,"Create a `.wslconfig` file in your Windows user profile folder, for example:

`C:\Users\YourUsername\.wslconfig`

Add:

```ini
[wsl2]
memory=8GB
```

Then restart WSL:

```bash
wsl --shutdown
```

After that, open WSL again and check with `free` to verify the RAM change.","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
Where should I put the .wslconfig file to change WSL2 memory limits?,"Put the `.wslconfig` file in your Windows user profile directory:

`C:\Users\YourUsername\.wslconfig`","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
What should I write in .wslconfig if I want WSL2 to use 8GB of RAM?,"```ini
[wsl2]
memory=8GB
```","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
"After updating WSL2 memory settings, how can I check that the new RAM limit is applied?",Run `free` inside WSL to verify the changes.,"Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
"Why does my GitHub Codespace keep hanging on Finishing up, and how can I get it to open again?","This is usually a GitHub Codespaces reliability issue, not a course problem.

Try these steps:

1. Go to [github.com/codespaces](https://github.com/codespaces)
2. Stop the codespace
3. Start it again

If it still hangs on “Finishing up”:

- Open it in the **browser** instead of desktop VS Code
- Try a different browser, like **Edge, Chrome, or Brave**
- As a last resort, **delete the codespace and create a new one**

If your setup seems to have disappeared, note that:
- Your repo in `/workspaces` usually persists across stop/start
- But a **rebuild** or **new codespace** starts from a clean image, so system/global installs may be gone
- Reinstalling is usually quick with `uv` (`uv sync` / `uv add ...`)
- **Commit and push often**, because uncommitted changes are lost if you delete or recreate the codespace

If it keeps being flaky, you can also run the course locally instead.","These are usually GitHub Codespaces reliability issues rather than a problem with the course, so there's no single guaranteed fix — but the following workarounds resolve most cases.

**Codespace won't connect / stuck on ""Finishing up"":**

- Go to [github.com/codespaces](https://github.com/codespaces), stop the codespace, and start it again.
- If it still won't connect, open it in the **browser** instead of desktop VS Code, or try a different browser (Edge/Chrome/Brave).
- As a last resort, delete the codespace and create a new one.

**""My setup is all gone"":**

- The repo in `/workspaces` persists across stop/start, but a **rebuild or a brand-new codespace** starts from a clean image, and system/global installs outside your project don't always survive. Reinstalling is quick with `uv` (`uv sync` / `uv add ...`).
- **Commit and push your work often** — uncommitted changes survive a stop/start but are lost if you delete or recreate the codespace.

If Codespaces keeps being flaky for you, consider running the course locally instead — see ""[Can I run the course locally instead of Codespaces?](026_aa310de435_can-i-run-the-course-locally-instead-of-codespaces.md)"".",830f3d2018
"If my Codespace refuses to reconnect, should I stop and restart it from github.com/codespaces?","Yes — go to [github.com/codespaces](https://github.com/codespaces), stop the codespace, and start it again. If it still won’t reconnect, try opening it in the browser or a different browser.","These are usually GitHub Codespaces reliability issues rather than a problem with the course, so there's no single guaranteed fix — but the following workarounds resolve most cases.

**Codespace won't connect / stuck on ""Finishing up"":**

- Go to [github.com/codespaces](https://github.com/codespaces), stop the codespace, and start it again.
- If it still won't connect, open it in the **browser** instead of desktop VS Code, or try a different browser (Edge/Chrome/Brave).
- As a last resort, delete the codespace and create a new one.

**""My setup is all gone"":**

- The repo in `/workspaces` persists across stop/start, but a **rebuild or a brand-new codespace** starts from a clean image, and system/global installs outside your project don't always survive. Reinstalling is quick with `uv` (`uv sync` / `uv add ...`).
- **Commit and push your work often** — uncommitted changes survive a stop/start but are lost if you delete or recreate the codespace.

If Codespaces keeps being flaky for you, consider running the course locally instead — see ""[Can I run the course locally instead of Codespaces?](026_aa310de435_can-i-run-the-course-locally-instead-of-codespaces.md)"".",830f3d2018
What can I try when Codespaces works in the browser but not in desktop VS Code?,"If Codespaces works in the browser but not in desktop VS Code, try opening it in the **browser** instead, or try a different browser like **Edge, Chrome, or Brave**.","These are usually GitHub Codespaces reliability issues rather than a problem with the course, so there's no single guaranteed fix — but the following workarounds resolve most cases.

**Codespace won't connect / stuck on ""Finishing up"":**

- Go to [github.com/codespaces](https://github.com/codespaces), stop the codespace, and start it again.
- If it still won't connect, open it in the **browser** instead of desktop VS Code, or try a different browser (Edge/Chrome/Brave).
- As a last resort, delete the codespace and create a new one.

**""My setup is all gone"":**

- The repo in `/workspaces` persists across stop/start, but a **rebuild or a brand-new codespace** starts from a clean image, and system/global installs outside your project don't always survive. Reinstalling is quick with `uv` (`uv sync` / `uv add ...`).
- **Commit and push your work often** — uncommitted changes survive a stop/start but are lost if you delete or recreate the codespace.

If Codespaces keeps being flaky for you, consider running the course locally instead — see ""[Can I run the course locally instead of Codespaces?](026_aa310de435_can-i-run-the-course-locally-instead-of-codespaces.md)"".",830f3d2018
"My files or setup disappeared in a new Codespace, is that normal or did I lose everything?","Yes, that can be normal in Codespaces.

A **brand-new codespace starts from a clean image**, so things like **system/global installs** or setup outside your project may look like they disappeared. The **repo in `/workspaces` persists** across stop/start, but if you **deleted/recreated** the codespace or did a **rebuild**, some setup won’t be there anymore.

What to do:
- **Reinstall setup quickly** with `uv` if needed (`uv sync` / `uv add ...`)
- **Commit and push your work often**, because uncommitted changes are lost if you delete or recreate the codespace
- If you’re having lots of Codespaces issues, consider running the course locally instead

If you want, I can also help you figure out whether what disappeared was your **files**, your **packages**, or your **environment setup**.","These are usually GitHub Codespaces reliability issues rather than a problem with the course, so there's no single guaranteed fix — but the following workarounds resolve most cases.

**Codespace won't connect / stuck on ""Finishing up"":**

- Go to [github.com/codespaces](https://github.com/codespaces), stop the codespace, and start it again.
- If it still won't connect, open it in the **browser** instead of desktop VS Code, or try a different browser (Edge/Chrome/Brave).
- As a last resort, delete the codespace and create a new one.

**""My setup is all gone"":**

- The repo in `/workspaces` persists across stop/start, but a **rebuild or a brand-new codespace** starts from a clean image, and system/global installs outside your project don't always survive. Reinstalling is quick with `uv` (`uv sync` / `uv add ...`).
- **Commit and push your work often** — uncommitted changes survive a stop/start but are lost if you delete or recreate the codespace.

If Codespaces keeps being flaky for you, consider running the course locally instead — see ""[Can I run the course locally instead of Codespaces?](026_aa310de435_can-i-run-the-course-locally-instead-of-codespaces.md)"".",830f3d2018
"If I have to delete or rebuild the Codespace, how do I avoid losing my work and installed packages?","Commit and push your work regularly.

If you stop/start the Codespace, the repo in `/workspaces` usually persists, but if you **delete or rebuild** the Codespace, uncommitted changes are lost. Also, system/global installs outside your project may not survive a rebuild or a brand-new Codespace.

To avoid losing installed packages, keep dependencies in your project and reinstall them quickly when needed, for example with `uv sync` or `uv add ...`.","These are usually GitHub Codespaces reliability issues rather than a problem with the course, so there's no single guaranteed fix — but the following workarounds resolve most cases.

**Codespace won't connect / stuck on ""Finishing up"":**

- Go to [github.com/codespaces](https://github.com/codespaces), stop the codespace, and start it again.
- If it still won't connect, open it in the **browser** instead of desktop VS Code, or try a different browser (Edge/Chrome/Brave).
- As a last resort, delete the codespace and create a new one.

**""My setup is all gone"":**

- The repo in `/workspaces` persists across stop/start, but a **rebuild or a brand-new codespace** starts from a clean image, and system/global installs outside your project don't always survive. Reinstalling is quick with `uv` (`uv sync` / `uv add ...`).
- **Commit and push your work often** — uncommitted changes survive a stop/start but are lost if you delete or recreate the codespace.

If Codespaces keeps being flaky for you, consider running the course locally instead — see ""[Can I run the course locally instead of Codespaces?](026_aa310de435_can-i-run-the-course-locally-instead-of-codespaces.md)"".",830f3d2018
"Can I use a provider other than OpenAI for the RAG homework, or is the course tied to it?","Yes — you can use a provider other than OpenAI. The course isn’t tied to OpenAI.

You can use:
- other hosted OpenAI-compatible providers like Groq, OpenRouter, DeepSeek, Gemini, Z.ai, or Mistral
- open models via Hugging Face
- a locally served model with Ollama, vLLM, LM Studio, etc.

Usually you just need to change the `base_url`, API key, and model name.","If the provider used in the course isn't available or is blocked in your region (or you simply prefer another one), you can use any other LLM provider — the course isn't tied to OpenAI. Just switch to something else:

- Hosted, OpenAI-compatible providers — e.g. Groq, OpenRouter, DeepSeek, Gemini, Z.ai, Mistral. The course code uses the OpenAI client, so you usually only need to change the `base_url`, the API key, and the model name.
- Open models via Hugging Face (e.g. Qwen, Llama) if you prefer hosted open-source models.
- Serve a model locally with [Ollama](https://ollama.com/), [vLLM](https://github.com/vllm-project/vllm), LM Studio, or anything else — no external API call at all, so regional blocks don't apply and you don't need a paid key. Most of these also expose an OpenAI-compatible endpoint, so the course code works with only a `base_url` change.
- Rent a GPU machine and serve the model there (e.g. with vLLM) if your own machine can't run the model you want. This gives you a private OpenAI-compatible endpoint to point the course code at — just remember to stop/delete the instance when you're done so you don't keep paying for it.
- A VPN also works if you just need to reach a provider that's blocked at the network level.

Anything with an OpenAI-compatible endpoint (or a locally served model) will work — pick whatever is available and convenient for you.

For a curated list of options, see [Awesome LLMs](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md) in the course repo, which collects OpenAI API alternatives and tools for running models locally.",c6ff9083c0
"If OpenAI is blocked in my country, what are the easiest alternatives that still work with the course code?","Yes — if OpenAI is blocked in your country, the easiest options that still work with the course code are:

- **Any OpenAI-compatible hosted provider** such as **Groq, OpenRouter, DeepSeek, Gemini, Z.ai, or Mistral**
  - Usually you only need to change:
    - `base_url`
    - API key
    - model name

- **A local model** using tools like:
  - **Ollama**
  - **vLLM**
  - **LM Studio**
  - anything else that exposes an **OpenAI-compatible endpoint**
  - This avoids regional blocks entirely and does not require a paid key.

- **Open models via Hugging Face** like **Qwen** or **Llama**

- **A VPN**, if you just need to reach a provider that is blocked at the network level

If you want the simplest path with minimal code changes, use **an OpenAI-compatible provider or a locally served model**.","If the provider used in the course isn't available or is blocked in your region (or you simply prefer another one), you can use any other LLM provider — the course isn't tied to OpenAI. Just switch to something else:

- Hosted, OpenAI-compatible providers — e.g. Groq, OpenRouter, DeepSeek, Gemini, Z.ai, Mistral. The course code uses the OpenAI client, so you usually only need to change the `base_url`, the API key, and the model name.
- Open models via Hugging Face (e.g. Qwen, Llama) if you prefer hosted open-source models.
- Serve a model locally with [Ollama](https://ollama.com/), [vLLM](https://github.com/vllm-project/vllm), LM Studio, or anything else — no external API call at all, so regional blocks don't apply and you don't need a paid key. Most of these also expose an OpenAI-compatible endpoint, so the course code works with only a `base_url` change.
- Rent a GPU machine and serve the model there (e.g. with vLLM) if your own machine can't run the model you want. This gives you a private OpenAI-compatible endpoint to point the course code at — just remember to stop/delete the instance when you're done so you don't keep paying for it.
- A VPN also works if you just need to reach a provider that's blocked at the network level.

Anything with an OpenAI-compatible endpoint (or a locally served model) will work — pick whatever is available and convenient for you.

For a curated list of options, see [Awesome LLMs](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md) in the course repo, which collects OpenAI API alternatives and tools for running models locally.",c6ff9083c0
"Do I need to rewrite the whole code if I switch to Groq, OpenRouter, DeepSeek, Gemini, Z.ai, or Mistral?","No. You usually do **not** need to rewrite the whole code.

If you switch to **Groq, OpenRouter, DeepSeek, Gemini, Z.ai, or Mistral**, the course code typically only needs small changes, such as:

- the **`base_url`**
- the **API key**
- the **model name**

For **Kestra**, you can often just swap the provider block in the flow without changing anything else, especially if the provider is OpenAI-compatible.

If you use an **OpenAI-compatible provider** like Groq, DeepSeek, or xAI, you can usually keep the same code and just point it to the provider’s endpoint.

So the short answer is: **usually no, only minor configuration changes**.","If the provider used in the course isn't available or is blocked in your region (or you simply prefer another one), you can use any other LLM provider — the course isn't tied to OpenAI. Just switch to something else:

- Hosted, OpenAI-compatible providers — e.g. Groq, OpenRouter, DeepSeek, Gemini, Z.ai, Mistral. The course code uses the OpenAI client, so you usually only need to change the `base_url`, the API key, and the model name.
- Open models via Hugging Face (e.g. Qwen, Llama) if you prefer hosted open-source models.
- Serve a model locally with [Ollama](https://ollama.com/), [vLLM](https://github.com/vllm-project/vllm), LM Studio, or anything else — no external API call at all, so regional blocks don't apply and you don't need a paid key. Most of these also expose an OpenAI-compatible endpoint, so the course code works with only a `base_url` change.
- Rent a GPU machine and serve the model there (e.g. with vLLM) if your own machine can't run the model you want. This gives you a private OpenAI-compatible endpoint to point the course code at — just remember to stop/delete the instance when you're done so you don't keep paying for it.
- A VPN also works if you just need to reach a provider that's blocked at the network level.

Anything with an OpenAI-compatible endpoint (or a locally served model) will work — pick whatever is available and convenient for you.

For a curated list of options, see [Awesome LLMs](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md) in the course repo, which collects OpenAI API alternatives and tools for running models locally.",c6ff9083c0
"Can I run the model locally with Ollama, vLLM, or LM Studio instead of calling an external API?","Yes. You can run the model locally with **Ollama, vLLM, LM Studio, or similar tools** instead of calling an external API.

The course supports **any OpenAI-compatible endpoint**, including a **locally served model**, so in many cases you only need to change the `base_url` and model name in the code.","If the provider used in the course isn't available or is blocked in your region (or you simply prefer another one), you can use any other LLM provider — the course isn't tied to OpenAI. Just switch to something else:

- Hosted, OpenAI-compatible providers — e.g. Groq, OpenRouter, DeepSeek, Gemini, Z.ai, Mistral. The course code uses the OpenAI client, so you usually only need to change the `base_url`, the API key, and the model name.
- Open models via Hugging Face (e.g. Qwen, Llama) if you prefer hosted open-source models.
- Serve a model locally with [Ollama](https://ollama.com/), [vLLM](https://github.com/vllm-project/vllm), LM Studio, or anything else — no external API call at all, so regional blocks don't apply and you don't need a paid key. Most of these also expose an OpenAI-compatible endpoint, so the course code works with only a `base_url` change.
- Rent a GPU machine and serve the model there (e.g. with vLLM) if your own machine can't run the model you want. This gives you a private OpenAI-compatible endpoint to point the course code at — just remember to stop/delete the instance when you're done so you don't keep paying for it.
- A VPN also works if you just need to reach a provider that's blocked at the network level.

Anything with an OpenAI-compatible endpoint (or a locally served model) will work — pick whatever is available and convenient for you.

For a curated list of options, see [Awesome LLMs](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md) in the course repo, which collects OpenAI API alternatives and tools for running models locally.",c6ff9083c0
Where can I find a list of OpenAI API alternatives and local model tools for this course?,"You can find the list in the course GitHub repo, under **Awesome LLMs**:

- **OpenAI API alternatives:** https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives

It also includes tools for running models locally, such as **Ollama**, **vLLM**, and **LM Studio**.","If the provider used in the course isn't available or is blocked in your region (or you simply prefer another one), you can use any other LLM provider — the course isn't tied to OpenAI. Just switch to something else:

- Hosted, OpenAI-compatible providers — e.g. Groq, OpenRouter, DeepSeek, Gemini, Z.ai, Mistral. The course code uses the OpenAI client, so you usually only need to change the `base_url`, the API key, and the model name.
- Open models via Hugging Face (e.g. Qwen, Llama) if you prefer hosted open-source models.
- Serve a model locally with [Ollama](https://ollama.com/), [vLLM](https://github.com/vllm-project/vllm), LM Studio, or anything else — no external API call at all, so regional blocks don't apply and you don't need a paid key. Most of these also expose an OpenAI-compatible endpoint, so the course code works with only a `base_url` change.
- Rent a GPU machine and serve the model there (e.g. with vLLM) if your own machine can't run the model you want. This gives you a private OpenAI-compatible endpoint to point the course code at — just remember to stop/delete the instance when you're done so you don't keep paying for it.
- A VPN also works if you just need to reach a provider that's blocked at the network level.

Anything with an OpenAI-compatible endpoint (or a locally served model) will work — pick whatever is available and convenient for you.

For a curated list of options, see [Awesome LLMs](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md) in the course repo, which collects OpenAI API alternatives and tools for running models locally.",c6ff9083c0
"Why do I keep getting 429 errors when my notebook loops over lots of docs, and what can I do to stop them?","You’re likely hitting OpenAI’s per-minute and/or per-day rate limits because your notebook is making too many API calls in a loop over many documents. This is especially common on free-tier or low-spend accounts.

What you can do:

- **Reduce API calls before anything else**
  - Don’t loop one-by-one if you can batch inputs.
  - Cache embeddings and model outputs so reruns don’t call the API again for the same docs.

- **Use retries with backoff**
  - The `openai` Python client can retry automatically:
    ```python
    from openai import OpenAI

    client = OpenAI(max_retries=5)
    ```

- **Lower concurrency**
  - If you’re using threads/processes, keep it small, like **2–3 workers**.

- **Batch where possible**
  - For embeddings, send a list of texts in one request instead of many separate calls.

- **Use a cheaper/free model/provider**
  - `gpt-4o-mini` is suggested as cheap enough for the course.
  - Groq’s free tier with `llama-3.3-70b-versatile` has generous per-minute limits via an OpenAI-compatible endpoint.

One important distinction: if the error is `insufficient_quota`, that’s **billing/quota**, not a rate limit issue. In that case you need to add credits to your OpenAI account.","Free-tier and low-spend OpenAI accounts have per-minute and per-day request limits that are easy to blow through when a notebook loops over many documents. Reduce the number of API calls before you worry about handling the error after the fact.

- **Retry with backoff.** The `openai` Python client retries automatically with exponential backoff; raise the limit so transient 429s resolve themselves instead of crashing the run:

  ```python
  from openai import OpenAI

  client = OpenAI(max_retries=5)
  ```

- **Lower concurrency.** In a thread/process pool, keep the pool small (2-3 workers) so you stay under the per-minute cap. A larger pool finishes one batch fast and then fails on the next.
- **Cache results.** Write embeddings and LLM responses to disk (JSONL, pickle, or a vector DB) and reload on re-run. Re-executing a notebook should not re-call the API for inputs you already processed.
- **Batch where possible.** Group independent inputs into a single request (e.g. embed a list of texts in one call) instead of looping one-by-one.
- **Use a cheaper/free provider.** `gpt-4o-mini` is cheap enough for the whole course; Groq's free tier (`llama-3.3-70b-versatile`) has generous per-minute limits via the OpenAI-compatible endpoint.

If you already see `insufficient_quota`, that is a billing issue, not a rate limit — see [OpenAI: Error: RateLimitError: Error code: 429](openai-error-ratelimiterror-error-code-429).",8e21752415
